tweet,followers_count,retweet_count
https://twitter.com/sudarsansand/status/796286585788649472,30972,131
https://twitter.com/AmritaDhawan1/status/796286001182228480,15172,45
https://twitter.com/PonnaarrBJP/status/796285180143013888,28460,11
https://twitter.com/HarsimratBadal_/status/796284312416985088,80292,198
https://twitter.com/sarbanandsonwal/status/796284282842943488,73049,23
https://twitter.com/awasthis/status/796284257207357440,149082,15
https://twitter.com/MiroCerar/status/796283754822172672,21513,45
https://twitter.com/PP_Russia/status/796282643574878208,39885,0
https://twitter.com/EP_Hellas/status/796281881067143168,18171,2
https://twitter.com/MrLeeRoberts/status/796281567220011008,16510,0
https://twitter.com/AdamLaxalt/status/796279174105165824,3117,0
https://twitter.com/RFAKWorld/status/796278715227504640,43351,242
https://twitter.com/JunckerEU/status/796277748935299072,328590,1076
https://twitter.com/eucopresident/status/796277380746805249,412257,732
https://twitter.com/Realsonaliraut9/status/796276946678099968,30505,7
https://twitter.com/alexxcalise/status/796276729337626624,36389,0
https://twitter.com/gssjodhpur/status/796276426580164608,8456,5
https://twitter.com/ditmirbushati/status/796276401976512512,68343,62
https://twitter.com/marvisirmed/status/796276361186971648,207356,33
https://twitter.com/mansukhmandviya/status/796275855869628416,16743,38
https://twitter.com/RashtrapatiBhvn/status/796275692224724992,2082556,1033
https://twitter.com/toddgillman/status/796275143249162240,3346,1
https://twitter.com/larry_kudlow/status/796274582831460353,98856,65
https://twitter.com/tv9gujarati/status/796274387322159104,146187,1
https://twitter.com/GautamBThakker/status/796274361649025024,5800,0
https://twitter.com/tv9gujarati/status/796273976821497856,146187,0
https://twitter.com/aminugamawa/status/796273925261000704,49395,83
https://twitter.com/UrsPMR/status/796273879773646852,300,0
https://twitter.com/USEmbZagreb/status/796273755932729344,2629,9
https://twitter.com/JasonHervey/status/796273290654470144,16114,5
https://twitter.com/tv9gujarati/status/796273088929230848,146187,0
https://twitter.com/GaneshSingh_in/status/796272962546462720,13849,5
https://twitter.com/thetribunechd/status/796272568592257024,16338,0
https://twitter.com/NewsNationTV/status/796272082480836608,50217,1
https://twitter.com/ombirlakota/status/796272000289251328,3052,5
https://twitter.com/ashokepandit/status/796271730058788864,101864,17
https://twitter.com/abpnewstv/status/796271627377872896,4815296,29
https://twitter.com/BTVI/status/796271574512865280,118679,3
https://twitter.com/IndiaTodayFLASH/status/796271538748067840,772642,6
https://twitter.com/davidmackintosh/status/796271517671813120,3769,2
https://twitter.com/Tzipi_Livni/status/796271411467866114,43820,41
https://twitter.com/ndtv/status/796271227266416641,8109193,44
https://twitter.com/larsloekke/status/796271136053018625,80756,60
https://twitter.com/joe_warmington/status/796271129790967812,10420,5
https://twitter.com/narendramodi/status/796270728068743169,24232634,17084
https://twitter.com/JamesCleverly/status/796270663438737408,12907,7
https://twitter.com/AdamLaxalt/status/796270530357665792,3117,3
https://twitter.com/imbhandarkar/status/796270142309199872,848037,26
https://twitter.com/RakeshSinha01/status/796269525201100800,119879,214
https://twitter.com/FerrCarrillo/status/796269336411389952,761065,0
https://twitter.com/MaithripalaS/status/796269077283139585,91197,130
https://twitter.com/felixryan/status/796269038208892928,74325,104
https://twitter.com/DikshitAshish/status/796269035210047490,26868,0
https://twitter.com/DruryOutdoors/status/796268472368041985,69826,21
https://twitter.com/JAfridi10/status/796268283859181568,490677,24
https://twitter.com/mikeyfisher_/status/796268281468481540,14841,0
https://twitter.com/J4CKMULL/status/796267999229603840,453768,2086
https://twitter.com/namenzie/status/796267754831642624,2785,1
https://twitter.com/NoaLindberg/status/796266917426331648,11044,0
https://twitter.com/MPNaveenJindal/status/796266878272274434,187363,62
https://twitter.com/BBhuttoZardari/status/796266780234813440,1608913,691
https://twitter.com/PulseGhana/status/796266084647268352,26161,1
https://twitter.com/GrantCardone/status/796266000807317506,356760,52
https://twitter.com/seanhannity/status/796265968913842176,1800250,21604
https://twitter.com/akshayerathi/status/796265817419681792,10840,0
https://twitter.com/vickeller/status/796265724117446656,2415,35
https://twitter.com/CKirubi/status/796265454905880576,524442,82
https://twitter.com/Davidmpmorris/status/796265403072782336,6863,19
https://twitter.com/TrevorImmelman/status/796265065154576384,112260,15
https://twitter.com/MichielEduard/status/796265059345465344,26516,0
